Stock,Exchange,Sector,
Q Technology (Group) Co. Ltd. (1478),XHKG,Precision Products,
Qeeka Home (Cayman) Inc. (1739),XHKG,Internet/Online,
Qianhai Health Holdings Ltd. (911),XHKG,Food Retail,
Qidian International Co. Ltd. (1280),XHKG,Home Goods Retail,
Qilu Expressway Co. Ltd. (1576),XHKG,Transportation Services,
Qingci Games Inc. (6633),XHKG,Toys & Games,
Qingdao Holdings International Ltd. (499),XHKG,Real Estate Developers,
Qingdao Port International Co. Ltd. (6198),XHKG,Water Transport/Shipping,
Qingling Motors Co. Ltd. (1122),XHKG,Commercial Vehicles,
Qinhuangdao Port Co. Ltd. (3369),XHKG,Water Transport/Shipping,
Qinqin Foodstuffs Group (Cayman) Co. Ltd. (1583),XHKG,Food Products,
QPL International Holdings Ltd. (243),XHKG,Semiconductors,
Quali-Smart Holdings Ltd. (1348),XHKG,Toys & Games,
Quantong Holdings Ltd. (8316),XHKG,Construction,
Quantum Thinking Ltd. (8050),XHKG,Computer Services,
Quanzhou Huixin Micro-Credit Co. Ltd. (1577),XHKG,Finance Companies,
Radiance Holdings (Group) Co. Ltd. (9993),XHKG,Real Estate Developers,
RaffAello-Astrum Financial Holdings Ltd. (8333),XHKG,Securities,
Raily Aesthetic Medicine International Holdings Ltd. (2135),XHKG,Healthcare Provision,
Rare Earth Magnesium Technology Group Holdings Ltd. (601),XHKG,Industrial Products,
Raymond Industrial Ltd. (229),XHKG,Housewares,
Razer Inc. (1337),XHKG,Computers/Consumer Electronics,
Reach New Holdings Ltd. (8471),XHKG,Clothing,
Realord Group Holdings Ltd. (1196),XHKG,Printing,
Red Star Macalline Group Corp. Ltd. (1528),XHKG,Home Goods Retail,
Redco Properties Group Ltd. (1622),XHKG,Real Estate Developers,
Redsun Properties Group Ltd. (1996),XHKG,Real Estate Developers,
Redsun Services Group Ltd. (1971),XHKG,Real Estate Developers,
REF Holdings Ltd. (1631),XHKG,Printing,
Regal Hotels International Holdings Ltd. (78),XHKG,Hotels,
Regal Real Estate Investment Trust (1881),XHKG,Hotel/Lodging REITs,
Regina Miracle International (Holdings) Ltd. (2199),XHKG,Clothing,
Reliance Global Holdings Ltd. (723),XHKG,Forestry & Wood Products,
REM Group (Holdings) Ltd. (1750),XHKG,Industrial Electronics,
RemeGen Co. Ltd. (9995),XHKG,Biotechnology,
Renaissance Asia Silk Road Group Ltd. (274),XHKG,Gold,
Renco Holdings Group Ltd. (2323),XHKG,Semiconductors,
Renheng Enterprise Holdings Ltd. (3628),XHKG,Mobile Machinery,
Renrui Human Resources Technology Holdings Ltd. (6919),XHKG,Employment/Training Services,
Republic Healthcare Ltd. (8357),XHKG,Healthcare Provision,
Ri Ying Holdings Ltd. (1741),XHKG,Construction,
Rich Goldman Holdings Ltd. (70),XHKG,Gambling Industries,
Richly Field China Development Ltd. (313),XHKG,Construction,
Rici Healthcare Holdings Ltd. (1526),XHKG,Healthcare Provision,
Rimbaco Group Global Ltd. (1953),XHKG,Construction,
Risecomm Group Holdings Ltd. (1679),XHKG,Precision Products,
Ritamix Global Ltd. (1936),XHKG,Food Products,
Riverine China Holdings Ltd. (1417),XHKG,Real Estate Developers,
Rizhao Port Jurong Co. Ltd. (6117),XHKG,Water Transport/Shipping,
RMH Holdings Ltd. (8437),XHKG,Healthcare Provision,
Road King Infrastructure Ltd. (1098),XHKG,Real Estate Developers,
Roiserv Lifestyle Services Co. Ltd. (2146),XHKG,Real Estate Developers,
Roma Group Ltd. (8072),XHKG,Diversified Business Services,
Ronshine China Holdings Ltd. (3301),XHKG,Real Estate Developers,
Ronshine Service Holding Co. Ltd. (2207),XHKG,Real Estate Developers,
Royal Catering Group Holdings Co. Ltd. (8300),XHKG,Restaurants,
Royal Century Resources Holdings Ltd. (8125),XHKG,General Services,
Royal Deluxe Holdings Ltd. (3789),XHKG,Construction,
Royale Home Holdings Ltd. (1198),XHKG,Furniture,
Ruicheng (China) Media Group Ltd. (1640),XHKG,Advertising/Marketing/Public Relations,
Ruixin International Holdings Ltd. (724),XHKG,Industrial Electronics,
Rykadan Capital Ltd. (2288),XHKG,Real Estate Developers,
S&P International Holding Ltd. (1695),XHKG,Food Products,
S.A.I. Leisure Group Co. Ltd. (1832),XHKG,Hotels,
S.A.S. Dragon Holdings Ltd. (1184),XHKG,Semiconductors,
Sa Sa International Holdings Ltd. (178),XHKG,Specialty Retail,
Safety Godown Co. Ltd. (237),XHKG,Real Estate Developers,
Sam Woo Construction Group Ltd. (3822),XHKG,Construction,
Samson Holding Ltd. (531),XHKG,Furniture,
Samsonite International S.A. (1910),XHKG,Leisure Goods,
San Miguel Brewery Hong Kong Ltd. (236),XHKG,Alcoholic Beverages/Drinks,
Sanai Health Industry Group Co. Ltd. (1889),XHKG,Pharmaceuticals,
Sanbase Corp. Ltd. (8501),XHKG,Construction,
Sandmartin International Holdings Ltd. (482),XHKG,Audio/Video Equipment,
Sands China Ltd. (1928),XHKG,Gambling Industries,
Sang Hing Holdings (International) Ltd. (1472),XHKG,Construction,
Sansheng Holdings (Group) Co. Ltd. (2183),XHKG,Real Estate Developers,
SANVO Fine Chemicals Group Ltd. (301),XHKG,Chemicals,
Sanxun Holdings Group Ltd. (6611),XHKG,Real Estate Developers,
Sany Heavy Equipment International Holdings Co. Ltd. (631),XHKG,Mobile Machinery,
Satu Holdings Ltd. (8392),XHKG,Housewares,
Sau San Tong Holdings Ltd. (8200),XHKG,Personal Care Products/Appliances,
SCE Intelligent Commercial Management Holdings Ltd. (606),XHKG,Real Estate Developers,
Scholar Education Group (1769),XHKG,Consumer Services,
SciClone Pharmaceuticals (Holdings) Ltd. (6600),XHKG,Biotechnology,
SDM Group Holdings Ltd. (8363),XHKG,Recreational Services,
SEA Holdings Ltd. (251),XHKG,Real Estate Developers,
Seamless Green China (Holdings) Ltd. (8150),XHKG,Industrial Electronics,
Seazen Group Ltd. (1030),XHKG,Real Estate Developers,
SEEC Media Group Ltd. (205),XHKG,Advertising/Marketing/Public Relations,
SEM Holdings Ltd. (9929),XHKG,Construction,
Semiconductor Manufacturing International Corp. (981),XHKG,Semiconductors,
S-Enjoy Service Group Co. Ltd. (1755),XHKG,Real Estate Developers,
SF Real Estate Investment Trust (2191),XHKG,Industrial/Office REITs,
SFK Construction Holdings Ltd. (1447),XHKG,Construction,
SG Group Holdings Ltd. (1657),XHKG,Clothing,
SH Group (Holdings) Ltd. (1637),XHKG,Technical Services,
Shandong Chenming Paper Holdings Ltd. (1812),XHKG,Paper/Pulp,
Shandong Fengxiang Co. Ltd. (9977),XHKG,Food Products,
Shandong Gold-Mining Co. Ltd. H (1787),XHKG,Gold,
Shandong International Trust Co. Ltd. (1697),XHKG,Investment Advisors,
Shandong Molong Petroleum Machinery Co. Ltd. (568),XHKG,Oil & Gas Products/Services,
Shandong Weigao Group Medical Polymer Co. Ltd. (1066),XHKG,Medical Equipment/Supplies,
Shandong Xinhua Pharmaceutical Co. Ltd. (719),XHKG,Pharmaceuticals,
Shanghai Bio-Heart Biological Technology Co. Ltd. (2185),XHKG,Medical Equipment/Supplies,
Shanghai Conant Optical Co. Ltd. (2276),XHKG,Precision Products,
Shanghai Dasheng Agriculture Finance Technology Co. Ltd. (1103),XHKG,Chemicals,
Shanghai Dazhong Public Utilities (Group) Co. Ltd. (1635),XHKG,Electric Utilities,
Shanghai Dongzheng Automotive Finance Co. Ltd. (2718),XHKG,Consumer Finance,
Shanghai Electric Group Co. Ltd. (2727),XHKG,Industrial Machinery,
Shanghai Fosun Pharmaceutical (Group) Co. Ltd. (2196),XHKG,Pharmaceuticals,
Shanghai Fudan Microelectronics Group Co. Ltd. (1385),XHKG,Semiconductors,
Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co. Ltd. (1349),XHKG,Biotechnology,
Shanghai Gench Education Group Ltd. (1525),XHKG,Consumer Services,
Shanghai Haohai Biological Technology Co. Ltd. (6826),XHKG,Medical Equipment/Supplies,
Shanghai HeartCare Medical Technology Corp. Ltd. (6609),XHKG,Medical Equipment/Supplies,
Shanghai Henlius Biotech Inc. (2696),XHKG,Biotechnology,
Shanghai Industrial Holdings Ltd. (363),XHKG,Diversified Holding Companies,
Shanghai Industrial Urban Development Group Ltd. (563),XHKG,Real Estate Developers,
Shanghai Jiaoda Withub Information Industrial Co. Ltd. (8205),XHKG,Software,
Shanghai Jin Jiang Capital Co. Ltd. (2006),XHKG,Hotels,
Shanghai Junshi Biosciences Co. Ltd. (1877),XHKG,Biotechnology,
Shanghai Kindly Medical Instruments Co. Ltd. (1501),XHKG,Medical Equipment/Supplies,
Shanghai MicroPort MedBot (Group) Co. Ltd. (2252),XHKG,Medical Equipment/Supplies,
Shanghai Pharmaceuticals Holding Co. Ltd. (2607),XHKG,Pharmaceuticals,
Shanghai Realway Capital Assets Management Co. Ltd. (1835),XHKG,Investment Advisors,
Shanghai Zendai Property Ltd. (755),XHKG,Real Estate Developers,
Shangri-La Asia Ltd. (69),XHKG,Hotels,
Shanshan Brand Management Co. Ltd. (1749),XHKG,Clothing,
Shanxi Changcheng Microlight Equipment Co. Ltd. A (8286),XHKG,Networking,
Shaw Bros. Holdings Ltd. (953),XHKG,Clothing,
Sheen Tai Holdings Group Co. Ltd. (1335),XHKG,Containers/Packaging,
Shen You Holdings Ltd. (8377),XHKG,Clothing,
Sheng Ye Capital Ltd. (6069),XHKG,Finance Companies,
Sheng Yuan Holdings Ltd. (851),XHKG,Investment Advisors,
Shengjing Bank Co. Ltd. (2066),XHKG,Banking,
Shengli Oil & Gas Pipe Holdings Ltd. (1080),XHKG,Construction,
Shenglong Splendecor International Ltd. (8481),XHKG,Paper/Pulp,
Shenguan Holdings (Group) Ltd. (829),XHKG,Food Products,
Shentong Robot Education Group Co. Ltd. (8206),XHKG,Consumer Services,
Shenwan Hongyuan (H.K.) Ltd. (218),XHKG,Securities,
Shenwan Hongyuan Group Co. Ltd. (6806),XHKG,Securities,
Shenyang Public Utility Holdings Co. Ltd. (747),XHKG,Real Estate Developers,
Shenzhen Expressway Co. Ltd. (548),XHKG,Transportation Services,
Shenzhen Hepalink Pharmaceutical Group Co. Ltd. (9989),XHKG,Pharmaceuticals,
Shenzhen International Holdings Ltd. (152),XHKG,Transportation Services,
Shenzhen Investment Holdings Bay Area Development Co. Ltd. (737),XHKG,Transportation Services,
Shenzhen Investment Ltd. (604),XHKG,Real Estate Developers,
Shenzhen Neptunus Interlong Bio-Technique Co. Ltd. (8329),XHKG,Biotechnology,
Shenzhou International Group Holdings Ltd. (2313),XHKG,Clothing,
Sheung Moon Holdings Ltd. (8523),XHKG,Construction,
Sheung Yue Group Holdings Ltd. (1633),XHKG,Construction,
Shi Shi Services Ltd. (8181),XHKG,Real Estate Developers,
Shifang Holding Ltd. (1831),XHKG,Advertising/Marketing/Public Relations,
Shimao Group Holdings Ltd. (813),XHKG,Real Estate Developers,
Shimao Services Holdings Ltd. (873),XHKG,Real Estate Developers,
Shinelong Automotive Lightweight Application Ltd. (1930),XHKG,Industrial Products,
Shineroad International Holdings Ltd. (1587),XHKG,Food Retail,
Shinsun Holdings (Group) Co. Ltd. (2599),XHKG,Real Estate Developers,
Shirble Department Store Holdings (China) Ltd. (312),XHKG,Mixed Retailing,
Shoucheng Holdings Ltd. (697),XHKG,Iron/Steel,
Shougang Century Holdings Ltd. (103),XHKG,Iron/Steel,
Shougang Concord Grand (Group) Ltd. (730),XHKG,Consumer Finance,
Shougang Fushan Resources Group Ltd. (639),XHKG,Coal,
Shuang Yun Holdings Ltd. (1706),XHKG,Construction,
Shuanghua Holdings Ltd. (1241),XHKG,Building Materials/Products,
Shui On Land Ltd. (272),XHKG,Real Estate Developers,
Shun Ho Holdings Ltd. (253),XHKG,Hotels,
Shun Ho Property Investments Ltd. (219),XHKG,Hotels,
Shun Tak Holdings Ltd. (242),XHKG,Railroads,
Shun Wo Group Holdings Ltd. (1591),XHKG,Construction,
Shunfeng International Clean Energy Ltd. (1165),XHKG,Industrial Electronics,
Shunten International (Holdings) Ltd. (932),XHKG,Pharmaceuticals,
Siberian Mining Group Co. Ltd. (1142),XHKG,Coal,
Sichuan Energy Investment Development Co. Ltd. (1713),XHKG,Renewable Energy Generation,
Sichuan Expressway Co. Ltd. (107),XHKG,Transportation Services,
Sihuan Pharmaceutical Holdings Group Ltd. (460),XHKG,Pharmaceuticals,
SIIC Environment Holdings Ltd. (807),XHKG,Water Utilities,
Silk Road Energy Services Group Ltd. (8250),XHKG,Coal,
Silk Road Logistics Holdings Ltd. (988),XHKG,Wholesalers,
Silver Base Group Holdings Ltd. (886),XHKG,Alcoholic Beverages/Drinks,
Silver Grant International Holdings Group Ltd. (171),XHKG,Wholesalers,
Silver Tide Holdings Ltd. (1943),XHKG,Construction,
SIM Technology Group Ltd. (2000),XHKG,Networking,
Simcere Pharmaceutical Group Ltd. (2096),XHKG,Pharmaceuticals,
Simplicity Holding Ltd. (8367),XHKG,Restaurants,
Sincere Co. Ltd. (244),XHKG,Mixed Retailing,
Sincere Watch (Hong Kong) Ltd. (444),XHKG,Jewelry & Watches,
Sinco Pharmaceuticals Holdings Ltd. (6833),XHKG,Healthcare Provision,
Sing Lee Software (Group) Ltd. (8076),XHKG,Software,
Sing Tao News Corp. Ltd. (1105),XHKG,Publishing,
Singamas Container Holdings Ltd. (716),XHKG,Containers/Packaging,
Singapore Food Industries Ltd. (8496),XHKG,Food Products,
SingAsia Holdings Ltd. (8293),XHKG,Employment/Training Services,
Sino Biopharmaceutical Ltd. (1177),XHKG,Pharmaceuticals,
Sino Entertainment Technology Holdings Ltd. (6933),XHKG,Toys & Games,
Sino Gas Holdings Group Ltd. (1759),XHKG,Wholesalers,
Sino Golf Holdings Ltd. (361),XHKG,Sports Goods,
Sino Harbour Holdings Group Ltd. (1663),XHKG,Real Estate Developers,
Sino Hotels (Holdings) Ltd. (1221),XHKG,Hotels,
Sino ICT Holdings Ltd. (365),XHKG,Precision Products,
Sino Land Co. Ltd. (83),XHKG,Real Estate Developers,
Sino Oil & Gas Holdings Ltd. (702),XHKG,Oil Extraction,
Sino Splendid Holdings Ltd. (8006),XHKG,Publishing,
Sino Vision Worldwide Holdings Ltd. (8086),XHKG,Computer Services,
Sinofert Holdings Ltd. (297),XHKG,Chemicals,
Sinofortune Financial Holdings Ltd. (8123),XHKG,Securities,
Sino-I Technology Ltd. (250),XHKG,Computer Services,
Sino-Life Group Ltd. (8296),XHKG,Consumer Services,
Sinolink Worldwide Holdings Ltd. (1168),XHKG,Real Estate Developers,
SinoMab BioScience Ltd. (3681),XHKG,Biotechnology,
Sinomax Group Ltd. (1418),XHKG,Housewares,
SinoMedia Holding Ltd. (623),XHKG,Advertising/Marketing/Public Relations,
Sino-Ocean Group Holding Ltd. (3377),XHKG,Real Estate Developers,
Sino-Ocean Service Holding Ltd. (6677),XHKG,Real Estate Developers,
SINOPEC Engineering (Group) Co. Ltd. (2386),XHKG,Technical Services,
SINOPEC Kantons Holdings Ltd. (934),XHKG,Pipeline Transportation,
SINOPEC Oilfield Service Corp. (1033),XHKG,Oil & Gas Products/Services,
SINOPEC Shanghai Petrochemical Co. Ltd. H (338),XHKG,Chemicals,
Sinopharm Group Co. Ltd. (1099),XHKG,Pharmaceuticals,
Sinopharm Tech Holdings Ltd. (8156),XHKG,Gambling Industries,
Sinosoft Technology Group Ltd. (1297),XHKG,Software,
Sinotrans Ltd. (598),XHKG,Transportation Services,
Sinotruk (Hong Kong) Ltd. (3808),XHKG,Commercial Vehicles,
Sirnaomics Ltd. (2257),XHKG,,
SIS International Holdings Ltd. (529),XHKG,Wholesalers,
Sis Mobile Holdings Ltd. (1362),XHKG,Wholesalers,
Sisram Medical Ltd. (1696),XHKG,Medical Equipment/Supplies,
SITC International Holdings Co. Ltd. (1308),XHKG,Water Transport/Shipping,
Sitoy Group Holdings Ltd. (1023),XHKG,Clothing,
SJM Holdings Ltd. (880),XHKG,Gambling Industries,
SK Target Group Ltd. (8427),XHKG,Networking,
Sky Light Holdings Ltd. (3882),XHKG,Leisure Goods,
Skyfame Realty (Holdings) Ltd. (59),XHKG,Real Estate Developers,
Skymission Group Holdings Ltd. (1429),XHKG,Construction,
Skyworth Group Ltd. (751),XHKG,Home Electronics/Appliances,
Sling Group Holdings Ltd. (8285),XHKG,Clothing,
Smart City Development Holdings Ltd. (8268),XHKG,Construction,
Smart Globe Holdings Ltd. (1481),XHKG,Printing,
Smart-Core Holdings Ltd. (2166),XHKG,Wholesalers,
SmarTone Telecommunications Holdings Ltd. (315),XHKG,Wireless Telecommunications Services,
SMC Electric Ltd. (2381),XHKG,Housewares,
SMIT Holdings Ltd. (2239),XHKG,Semiconductors,
Smoore International Holdings Ltd. (6969),XHKG,Tobacco,
Snack Empire Holdings Ltd. (1843),XHKG,Restaurants,
SOCAM Development Ltd. (983),XHKG,Construction,
Soho China Ltd. (410),XHKG,Real Estate Developers,
Solargiga Energy Holdings Ltd. (757),XHKG,Industrial Electronics,
Solartech International Holdings Ltd. (1166),XHKG,Industrial Electronics,
Solis Holdings Ltd. (2227),XHKG,Construction,
Solomon Systech (International) Ltd. (2878),XHKG,Semiconductors,
Somerley Capital Holdings Ltd. (8439),XHKG,Investment Advisors,
Soundwill Holdings Ltd. (878),XHKG,Real Estate Developers,
South China Financial Holdings Ltd. (619),XHKG,Securities,
South China Holdings Co. Ltd. (413),XHKG,Toys & Games,
South China Vocational Education Group Co. Ltd. (6913),XHKG,Employment/Training Services,
South Manganese Investment Ltd. (1091),XHKG,Non-Ferrous Metals,
SouthGobi Resources Ltd. (1878),XHKG,Coal,
Southwest Securities International Securities Ltd. (812),XHKG,Securities,
Space Group Holdings Ltd. (2448),XHKG,Construction,
Speedy Global Holdings Ltd. (540),XHKG,Transportation Services,
Spring Real Estate Investment Trust (1426),XHKG,Industrial/Office REITs,
Sprocomm Intelligence Ltd. (1401),XHKG,Networking,
SPT Energy Group Inc. (1251),XHKG,Oil & Gas Products/Services,
SRE Group Ltd. (1207),XHKG,Real Estate Developers,
SSY Group Ltd. (2005),XHKG,Pharmaceuticals,
ST International Holdings Co. Ltd. (8521),XHKG,Clothing,
Standard Chartered PLC (2888),XHKG,Major International Banks,
Standard Development Group Ltd. (1867),XHKG,Construction,
Star Group Co. Ltd. (1560),XHKG,Real Estate Developers,
StarGlory Holdings Co. Ltd. (8213),XHKG,Restaurants,
Starlight Culture Entertainment Group Ltd. (1159),XHKG,Gambling Industries,
Starlite Holdings Ltd. (403),XHKG,Containers/Packaging,
Starrise Media Holdings Ltd. (1616),XHKG,Clothing,
State Energy Group International Assets Holdings Ltd. (918),XHKG,Clothing,
Steed Oriental (Holdings) Co. Ltd. (8277),XHKG,Forestry & Wood Products,
Steering Holdings Ltd. (1826),XHKG,Construction,
Stella International Holdings Ltd. (1836),XHKG,Footwear,
Stelux Holdings International Ltd. (84),XHKG,Jewelry & Watches,
Sterling Group Holdings Ltd. (1825),XHKG,Clothing,
Steve Leung Design Group Ltd. (2262),XHKG,General Services,
Strawbear Entertainment Group (2125),XHKG,Motion Picture/Sound Recording,
Stream Ideas Group Ltd. (8401),XHKG,Advertising/Marketing/Public Relations,
Strong Petrochemical Holdings Ltd. (852),XHKG,Oil Extraction,
Styland Holdings Ltd. (211),XHKG,Investment Advisors,
Success Dragon International Holdings Ltd. (1182),XHKG,Gambling Industries,
Success Universe Group Ltd. (487),XHKG,Tourism,
Suga International Holdings Ltd. (912),XHKG,Computers/Consumer Electronics,
Summi (Group) Holdings Ltd. (756),XHKG,Non-Alcoholic Beverages/Drinks,
Summit Ascent Holdings Ltd. (102),XHKG,Gambling Industries,
Sun Art Retail Group Ltd. (6808),XHKG,Mixed Retailing,
Sun Entertainment Group Ltd. (8082),XHKG,Recreational Services,
Sun Hing Printing Holdings Ltd. (1975),XHKG,Printing,
Sun Hing Vision Group Holdings Ltd. (125),XHKG,Medical Equipment/Supplies,
Sun Hung Kai & Co. Ltd. (86),XHKG,Consumer Finance,
Sun Hung Kai Properties Ltd. (16),XHKG,Real Estate Developers,
Sun Kong Holdings Ltd. (8631),XHKG,Specialty Retail,
Sun.King Technology Group Ltd. (580),XHKG,Industrial Electronics,
Sunac China Holdings Ltd. (1918),XHKG,Real Estate Developers,
Sunac Services Holdings Ltd. (1516),XHKG,Real Estate Developers,
Suncity Group Holdings Ltd. (1383),XHKG,Real Estate Developers,
SunCorp Technologies Ltd. (1063),XHKG,Networking,
Sundart Holdings Ltd. (1568),XHKG,General Services,
Sundy Service Co. Ltd. (9608),XHKG,Real Estate Developers,
SUNeVision Holdings Ltd. (1686),XHKG,Computer Services,
Sunfonda Group Holdings Ltd. (1771),XHKG,Specialty Retail,
Sunkwan Properties Group Ltd. (6900),XHKG,Real Estate Developers,
Sunlight 1977 Holdings Ltd. (8451),XHKG,Nondurable Household Products,
Sunlight Real Estate Investment Trust (435),XHKG,Retail REITs,
Sunlight Technology Holdings Ltd. (1950),XHKG,Chemicals,
Sunny Optical Technology Group Co. Ltd. (2382),XHKG,Precision Products,
Sunray Engineering Group Ltd. (8616),XHKG,Construction,
Sunshine 100 China Holdings Ltd. (2608),XHKG,Real Estate Developers,
Sunshine Oilsands Ltd. (2012),XHKG,Oil Extraction,
SunWah Kingsway Capital Holdings Ltd. (188),XHKG,Finance Companies,
Sunway International Holdings Ltd. (58),XHKG,Building Materials/Products,
Suoxinda Holdings Ltd. (3680),XHKG,Emerging Technologies,
Super Strong Holdings Ltd. (8262),XHKG,Construction,
Superactive Group Co. Ltd. (176),XHKG,Housewares,
Suzhou Basecare Medical Corp. Ltd. (2170),XHKG,Biotechnology,
Swire Pacific Ltd. A (19),XHKG,Diversified Holding Companies,
Swire Pacific Ltd. B (87),XHKG,Diversified Holding Companies,
Swire Properties Ltd. (1972),XHKG,Real Estate Developers,
Symphony Holdings Ltd. (1223),XHKG,Footwear,
Synergis Holdings Ltd. (2340),XHKG,Construction,
Synergy Group Holdings International Ltd. (1539),XHKG,Wholesalers,
Synertone Communication Corp. (1613),XHKG,Networking,
Ta Yang Group Holdings Ltd. (1991),XHKG,Computers/Consumer Electronics,
Tai Cheung Holdings Ltd. (88),XHKG,Real Estate Developers,
Tai Hing Group Holdings Ltd. (6811),XHKG,Restaurants,
Tai Kam Holdings Ltd. (8321),XHKG,Construction,
Tai Ping Carpets International Ltd. (146),XHKG,Building Materials/Products,
Tai Sang Land Development Ltd. (89),XHKG,Real Estate Developers,
Tai United Holdings Ltd. (718),XHKG,Wholesalers,
Tailam Tech Construction Holdings Ltd. (6193),XHKG,Building Materials/Products,
Taizhou Water Group Co. Ltd. (1542),XHKG,Water Utilities,
Tak Lee Machinery Holdings Ltd. (2102),XHKG,Wholesalers,
Takbo Group Holdings Ltd. (8436),XHKG,Personal Care Products/Appliances,
Talent Property Group Ltd. (760),XHKG,Real Estate Developers,
Tam Jai International Co. Ltd. (2217),XHKG,Restaurants,
Tan Chong International Ltd. (693),XHKG,Specialty Retail,
Tang Palace (China) Holdings Ltd. (1181),XHKG,Restaurants,
TANSH Global Food Group Co. Ltd. (3666),XHKG,Restaurants,
Tao Heung Holdings Ltd. (573),XHKG,Restaurants,
Target Insurance (Holdings) Ltd. (6161),XHKG,Non-Life Insurance,
Taste Gourmet Group Ltd. (8371),XHKG,Restaurants,
Tasty Concepts Holding Ltd. (8096),XHKG,Restaurants,
Tat Hong Equipment Service Co. Ltd. (2153),XHKG,Mobile Machinery,
TATA Health International Holdings Ltd. (1255),XHKG,Clothing Retail,
Taung Gold International Ltd. (621),XHKG,Precious Metals,
TBK & Sons Holdings Ltd. (1960),XHKG,Construction,
TCL Electronics Holdings Ltd. (1070),XHKG,Audio/Video Equipment,
Teamway International Group Holdings Ltd. (1239),XHKG,Containers/Packaging,
Technovator International Ltd. (1206),XHKG,Precision Products,
Techtronic Industries Co. Ltd. (669),XHKG,Housewares,
Telecom Digital Holdings Ltd. (6033),XHKG,Home Goods Retail,
Television Broadcasts Ltd. (511),XHKG,Broadcasting,
Tempus Holdings Ltd. (6880),XHKG,Specialty Retail,
Ten Pao Group Holdings Ltd. (1979),XHKG,Industrial Electronics,
Tencent Holdings Ltd. (700),XHKG,Internet/Online,
Tenfu (Cayman) Holdings Co. Ltd. (6868),XHKG,Non-Alcoholic Beverages/Drinks,
Termbray Industries International (Holdings) Ltd. (93),XHKG,Real Estate Developers,
Tesson Holdings Ltd. (1201),XHKG,Containers/Packaging,
Texhong Textile Group Ltd. (2678),XHKG,Clothing,
Texwinca Holdings Ltd. (321),XHKG,Clothing,
TFG International Group Ltd. (542),XHKG,Hotels,
Thelloy Development Group Ltd. (1546),XHKG,Construction,
Theme International Holdings Ltd. (990),XHKG,Wholesalers,
Tian An China Investments Co. Ltd. (28),XHKG,Real Estate Developers,
Tian Chang Group Holdings Ltd. (2182),XHKG,Industrial Products,
Tian Ge Interactive Holdings Ltd. (1980),XHKG,Motion Picture/Sound Recording,
Tian Lun Gas Holdings Ltd. (1600),XHKG,Gas Utilities,
Tian Shan Development (Holding) Ltd. (2118),XHKG,Real Estate Developers,
Tian Teck Land Ltd. (266),XHKG,Real Estate Developers,
Tian Yuan Group Holdings Ltd. (6119),XHKG,Water Transport/Shipping,
Tianda Pharmaceuticals Ltd. (455),XHKG,Pharmaceuticals,
Tiande Chemical Holdings Ltd. (609),XHKG,Chemicals,
Tiangong International Co. Ltd. (826),XHKG,Iron/Steel,
Tianjin Binhai Teda Logistics Group Corp. Ltd. (8348),XHKG,Transportation Services,
Tianjin Capital Environmental Protection Group Co. Ltd. (1065),XHKG,Water Utilities,
Tianjin Development Holdings Ltd. (882),XHKG,Multiutilities,
Tianjin Jinran Public Utilities Co. Ltd. (1265),XHKG,Gas Utilities,
Tianjin Port Development Holdings Ltd. (3382),XHKG,Water Transport/Shipping,
Tianjin TEDA Biomedical Engineering Co. Ltd. (8189),XHKG,Biotechnology,
Tianjin Tianbao Energy Co. Ltd. (1671),XHKG,Electric Utilities,
Tianli Holdings Group Ltd. (117),XHKG,Industrial Electronics,
Tianneng Power International Ltd. (819),XHKG,Industrial Electronics,
Tianyun International Holdings Ltd. (6836),XHKG,Food Products,
Tibet Water Resources Ltd. (1115),XHKG,Non-Alcoholic Beverages/Drinks,
TIL Enviro Ltd. (1790),XHKG,Environment/Waste Management,
Time Interconnect Technology Ltd. (1729),XHKG,Industrial Electronics,
Time Watch Investments Ltd. (2033),XHKG,Jewelry & Watches,
Timeless Software Ltd. (8028),XHKG,Software,
Times China Holdings Ltd. (1233),XHKG,Real Estate Developers,
Times Neighborhood Holdings Ltd. (9928),XHKG,Real Estate Developers,
Times Universal Group Holdings Ltd. (2310),XHKG,Real Estate Developers,
Tingyi (Cayman Islands) Holding Corp. (322),XHKG,Food Products,
Titan Invo Technology Ltd. (872),XHKG,Motor Vehicle Parts,
TK Group (Holdings) Ltd. (2283),XHKG,Industrial Products,
TL Natural Gas Holdings Ltd. (8536),XHKG,Specialty Retail,
Tokyo Chuo Auction Holdings Ltd. (1939),XHKG,Mixed Retailing,
TOM Group Ltd. (2383),XHKG,Internet/Online,
TOMO Holdings Ltd. (6928),XHKG,Motor Vehicle Parts,
Tomson Group Ltd. (258),XHKG,Real Estate Developers,
Tong Kee (Holding) Ltd. (8305),XHKG,Construction,
Tong Ren Tang Technologies Co. Ltd. (1666),XHKG,Pharmaceuticals,
Tongcheng-Elong Holdings Ltd. (780),XHKG,Tourism,
Tongda Group Holdings Ltd. (698),XHKG,Industrial Electronics,
Tongda Hong Tai Holdings Ltd. (2363),XHKG,Computers/Consumer Electronics,
Tongdao Liepin Group (6100),XHKG,Employment/Training Services,
Tongfang Kontafarma Holdings Ltd. (1312),XHKG,Building Materials/Products,
Tongguan Gold Group Ltd. (340),XHKG,Gold,
